HT,AT,WINNER,HS,AS,Q1H,Q1A,Q2H,Q2A,Q3H,Q3A,Q4H,Q4A
Fenerbahce Ulker,Maccabi Tel Aviv,Fenerbahce Ulker,78,75,20,20,21,21,10,18,27,16
Real Madrid,Zalgiris Kaunas,Zalgiris Kaunas,86,93,27,25,10,21,23,20,26,27
Panathinaikos,Buducnost,Panathinaikos,87,67,23,21,26,15,17,20,21,11
Anadolu Efes SK,Olimpia Milano,Anadolu Efes SK,101,95,24,20,18,33,32,16,27,26
CSKA Moscow,Baskonia,CSKA Moscow,82,78,17,21,23,23,15,22,27,12
Baskonia,Anadolu Efes SK,Anadolu Efes SK,92,102,26,30,27,18,14,26,25,28
Olympiacos,Zalgiris Kaunas,Zalgiris Kaunas,68,72,18,16,20,18,13,14,17,24
Darussafaka Ct,Bayern,Darussafaka Ct,92,87,14,27,30,23,21,17,27,20
Khimki,CSKA Moscow,CSKA Moscow,72,80,15,23,22,26,14,15,21,16
Barcelona,Buducnost,Barcelona,95,83,21,22,23,24,28,23,23,14
Olimpia Milano,Fenerbahce Ulker,Fenerbahce Ulker,90,104,17,22,25,30,26,21,22,31
Maccabi Tel Aviv,Gran Canaria,Maccabi Tel Aviv,90,55,21,9,27,21,16,15,26,10
Panathinaikos,Real Madrid,Real Madrid,73,74,32,14,13,19,14,20,14,21
Olimpia Milano,Panathinaikos,Panathinaikos,83,95,20,23,27,21,17,28,19,23
Baskonia,Real Madrid,Baskonia,86,76,22,18,17,18,25,17,22,23
Zalgiris Kaunas,Darussafaka Ct,Zalgiris Kaunas,94,67,22,18,27,12,19,16,26,21
Khimki,Maccabi Tel Aviv,Maccabi Tel Aviv,71,76,24,15,15,25,16,19,16,17
Gran Canaria,Olympiacos,Gran Canaria,90,67,19,16,21,14,29,16,21,21
Bayern,Barcelona,Bayern,73,71,18,19,14,17,17,20,24,15
Buducnost,Anadolu Efes SK,Anadolu Efes SK,84,91,19,27,21,26,18,18,26,20
CSKA Moscow,Fenerbahce Ulker,CSKA Moscow,70,68,14,18,22,17,16,13,18,20
Real Madrid,Olimpia Milano,Real Madrid,92,89,19,33,31,23,24,19,18,14
Maccabi Tel Aviv,Zalgiris Kaunas,Zalgiris Kaunas,83,85,23,19,22,17,14,21,24,28
Panathinaikos,Baskonia,Panathinaikos,72,70,26,10,22,17,8,21,16,22
Darussafaka Ct,Khimki,Darussafaka Ct,91,85,17,23,31,23,15,19,28,20
Barcelona,Gran Canaria,Barcelona,93,64,22,19,16,16,25,11,30,18
Olympiacos,Bayern,Olympiacos,89,69,20,10,30,21,22,17,17,21
Fenerbahce Ulker,Buducnost,Fenerbahce Ulker,76,67,19,16,17,23,22,19,18,9
Anadolu Efes SK,CSKA Moscow,CSKA Moscow,78,80,20,15,15,25,23,21,20,19
Baskonia,Buducnost,Baskonia,82,62,23,15,16,19,25,15,18,13
Fenerbahce Ulker,Barcelona,Fenerbahce Ulker,88,82,16,23,21,15,15,23,36,21
CSKA Moscow,Panathinaikos,Panathinaikos,77,78,20,18,21,17,18,23,18,20
Gran Canaria,Darussafaka Ct,Gran Canaria,84,64,15,18,22,12,23,17,24,17
Olimpia Milano,Olympiacos,Olimpia Milano,66,57,19,10,4,13,26,16,17,18
Maccabi Tel Aviv,Anadolu Efes SK,Anadolu Efes SK,71,79,18,13,23,26,17,19,13,21
Zalgiris Kaunas,Bayern,Zalgiris Kaunas,85,79,22,20,26,15,21,18,16,26
Khimki,Real Madrid,Real Madrid,75,100,22,24,16,27,12,19,25,30
Baskonia,Khimki,Baskonia,104,86,22,17,18,24,38,16,26,29
Buducnost,Olympiacos,Olympiacos,76,89,21,27,13,24,20,22,22,16
Anadolu Efes SK,Barcelona,Anadolu Efes SK,92,70,24,12,18,19,22,22,28,17
CSKA Moscow,Olimpia Milano,CSKA Moscow,101,95,27,24,24,19,25,23,25,29
Real Madrid,Fenerbahce Ulker,Real Madrid,101,86,27,25,25,20,25,16,24,25
Bayern,Maccabi Tel Aviv,Maccabi Tel Aviv,70,77,17,18,14,15,16,25,23,19
Zalgiris Kaunas,Gran Canaria,Zalgiris Kaunas,98,64,25,10,21,17,31,18,21,19
Darussafaka Ct,Panathinaikos,Panathinaikos,67,91,17,20,20,26,16,20,14,25
Barcelona,Real Madrid,Barcelona,77,70,16,17,26,20,14,14,21,19
Olympiacos,CSKA Moscow,CSKA Moscow,81,97,23,21,27,30,14,21,17,25
Buducnost,Bayern,Bayern,75,89,17,25,27,16,15,25,16,23
Gran Canaria,Panathinaikos,Panathinaikos,80,99,26,28,19,22,21,23,14,26
Baskonia,Zalgiris Kaunas,Baskonia,80,73,17,12,23,13,19,27,21,21
Maccabi Tel Aviv,Darussafaka Ct,Maccabi Tel Aviv,77,58,18,10,20,13,19,18,20,17
Fenerbahce Ulker,Anadolu Efes SK,Fenerbahce Ulker,84,66,20,17,23,12,14,18,27,19
Khimki,Olimpia Milano,Olimpia Milano,88,90,25,20,29,25,19,20,15,25
Real Madrid,Bayern,Real Madrid,91,78,22,17,20,22,29,13,20,26
Panathinaikos,Khimki,Panathinaikos,94,85,33,21,32,29,13,17,16,18
Zalgiris Kaunas,Buducnost,Zalgiris Kaunas,84,76,20,18,19,18,21,26,24,14
Darussafaka Ct,Fenerbahce Ulker,Fenerbahce Ulker,75,97,12,26,23,20,13,27,27,24
Barcelona,Baskonia,Barcelona,77,67,22,9,24,17,16,19,15,22
Olimpia Milano,Maccabi Tel Aviv,Olimpia Milano,87,83,20,22,27,25,17,15,23,21
Anadolu Efes SK,Olympiacos,Anadolu Efes SK,75,65,18,22,18,13,20,14,19,16
CSKA Moscow,Gran Canaria,CSKA Moscow,107,85,29,20,27,22,27,22,24,21
Olimpia Milano,Darussafaka Ct,Olimpia Milano,90,78,19,17,21,19,20,25,30,17
Baskonia,Bayern,Baskonia,76,68,19,16,19,21,21,16,17,15
Fenerbahce Ulker,Panathinaikos,Fenerbahce Ulker,85,66,24,18,24,11,15,17,22,20
CSKA Moscow,Real Madrid,CSKA Moscow,82,78,22,20,12,20,30,21,18,17
Barcelona,Zalgiris Kaunas,Barcelona,78,72,23,20,22,18,15,24,18,10
Maccabi Tel Aviv,Olympiacos,Maccabi Tel Aviv,65,64,14,16,12,13,19,13,20,22
Buducnost,Khimki,Khimki,90,98,20,22,26,23,19,23,25,30
Anadolu Efes SK,Gran Canaria,Anadolu Efes SK,93,74,26,19,17,27,26,14,24,14
Gran Canaria,Olimpia Milano,Olimpia Milano,104,106,28,27,18,12,21,29,22,21
Panathinaikos,Anadolu Efes SK,Panathinaikos,88,75,24,16,18,21,19,19,27,19
Darussafaka Ct,Real Madrid,Real Madrid,82,86,16,23,22,30,21,19,23,14
CSKA Moscow,Buducnost,CSKA Moscow,99,69,28,20,24,27,20,14,27,8
Baskonia,Maccabi Tel Aviv,Baskonia,97,73,26,18,28,23,27,16,16,16
Bayern,Fenerbahce Ulker,Bayern,90,86,20,21,9,13,23,18,14,14
Olympiacos,Barcelona,Barcelona,55,76,6,27,22,11,15,17,12,21
Khimki,Zalgiris Kaunas,Khimki,74,64,19,17,17,20,11,19,27,8
Barcelona,CSKA Moscow,CSKA Moscow,76,84,20,20,21,24,20,19,15,21
Buducnost,Gran Canaria,Buducnost,75,70,27,24,9,14,25,19,14,13
Darussafaka Ct,Baskonia,Darussafaka Ct,80,75,21,29,24,18,18,14,17,14
Khimki,Bayern,Bayern,60,71,28,10,12,25,10,21,10,15
Real Madrid,Anadolu Efes SK,Real Madrid,92,84,21,21,21,21,22,19,28,23
Olimpia Milano,Zalgiris Kaunas,Olimpia Milano,80,70,21,13,13,17,18,20,28,20
Maccabi Tel Aviv,Panathinaikos,Maccabi Tel Aviv,84,75,16,17,24,18,22,19,22,21
Fenerbahce Ulker,Olympiacos,Fenerbahce Ulker,90,75,21,15,19,13,28,26,22,21
Baskonia,Olimpia Milano,Baskonia,80,75,16,21,26,28,20,10,18,16
Buducnost,Real Madrid,Buducnost,73,60,19,15,17,13,20,20,17,12
