HT,AT,WINNER,HS,AS,Q1H,Q1A,Q2H,Q2A,Q3H,Q3A,Q4H,Q4A
Lokomotiv Kuban,Barcelona,Barcelona,66,92,19,24,12,24,18,23,17,21
Fenerbahce Ulker,Real Madrid,Fenerbahce Ulker,100,78,27,14,27,15,22,19,24,30
CSKA Moscow,Crvena Zvezda,CSKA Moscow,77,76,20,20,24,28,19,12,14,16
Baskonia,Panathinaikos,Baskonia,84,68,18,16,21,12,25,21,20,19
Lokomotiv Kuban,Barcelona,Lokomotiv Kuban,66,61,17,19,10,14,23,20,16,8
Fenerbahce Ulker,Real Madrid,Fenerbahce Ulker,75,69,15,11,26,18,12,23,22,17
CSKA Moscow,Crvena Zvezda,CSKA Moscow,84,74,25,20,19,20,19,16,21,18
Olympiacos,CSKA Moscow,CSKA Moscow,96,99,25,33,20,17,24,14,27,35
Unicaja,Fenerbahce Ulker,Unicaja,71,67,23,20,16,8,19,20,13,19
Cedevita,Crvena Zvezda,Cedevita,83,62,29,12,23,19,16,14,15,17
Darussafaka Ct,Lokomotiv Kuban,Darussafaka Ct,87,86,20,23,18,24,26,19,23,20
Real Madrid,Khimki,Real Madrid,83,70,33,28,21,21,12,9,17,12
Bamberg,Baskonia,Bamberg,89,69,29,14,16,14,18,24,26,17
Anadolu Efes SK,Panathinaikos,Anadolu Efes SK,91,86,17,23,26,29,18,14,30,20
Zalgiris Kaunas,Barcelona,Barcelona,59,66,16,16,18,12,14,21,11,17
Panathinaikos,Cedevita,Panathinaikos,76,60,20,5,22,14,16,18,18,23
Baskonia,Real Madrid,Baskonia,89,88,11,21,25,25,31,21,22,21
Fenerbahce Ulker,Anadolu Efes SK,Fenerbahce Ulker,90,86,19,16,18,18,29,16,24,36
CSKA Moscow,Zalgiris Kaunas,CSKA Moscow,100,86,21,23,26,25,27,13,26,25
Barcelona,Bamberg,Barcelona,75,57,18,12,25,11,16,18,16,16
Crvena Zvezda,Darussafaka Ct,Darussafaka Ct,61,80,20,15,14,20,15,20,12,25
Khimki,Olympiacos,Khimki,98,66,25,22,23,14,28,14,22,16
Lokomotiv Kuban,Unicaja,Lokomotiv Kuban,81,60,18,14,21,21,23,20,19,5
Anadolu Efes SK,Unicaja,Anadolu Efes SK,87,67,27,11,22,19,16,17,22,20
Olympiacos,Real Madrid,Olympiacos,99,84,23,17,30,16,20,21,26,30
Cedevita,Fenerbahce Ulker,Cedevita,89,59,22,13,22,17,27,13,18,16
Zalgiris Kaunas,Khimki,Khimki,71,76,17,20,20,15,12,21,22,20
Bamberg,CSKA Moscow,Bamberg,91,83,22,20,21,19,25,28,23,16
Darussafaka Ct,Panathinaikos,Panathinaikos,84,86,30,22,12,18,21,25,21,21
Lokomotiv Kuban,Crvena Zvezda,Lokomotiv Kuban,86,62,19,15,26,20,21,14,20,13
Baskonia,Barcelona,Baskonia,75,71,15,16,25,17,16,12,19,26
Olympiacos,Zalgiris Kaunas,Olympiacos,74,59,14,15,25,15,19,11,16,18
Unicaja,Crvena Zvezda,Crvena Zvezda,72,78,20,12,23,15,17,26,12,25
Anadolu Efes SK,Cedevita,Anadolu Efes SK,80,76,20,28,14,8,19,18,27,22
Bamberg,Khimki,Bamberg,84,79,16,17,24,23,16,24,28,15
Barcelona,Real Madrid,Barcelona,72,65,25,4,15,24,12,23,20,14
Panathinaikos,Lokomotiv Kuban,Panathinaikos,84,79,19,19,17,22,24,22,24,16
Fenerbahce Ulker,Darussafaka Ct,Fenerbahce Ulker,77,69,25,21,20,18,12,15,20,15
CSKA Moscow,Baskonia,CSKA Moscow,90,78,20,14,20,12,28,30,22,22
Barcelona,CSKA Moscow,Barcelona,100,98,21,24,26,14,13,26,25,21
Crvena Zvezda,Panathinaikos,Crvena Zvezda,69,67,10,18,18,13,25,11,16,25
Darussafaka Ct,Anadolu Efes SK,Anadolu Efes SK,68,72,15,13,11,21,24,21,18,17
Zalgiris Kaunas,Real Madrid,Real Madrid,75,90,17,13,24,26,12,23,22,28
Baskonia,Khimki,Baskonia,98,83,21,24,24,22,27,15,26,22
Bamberg,Olympiacos,Bamberg,72,71,19,21,19,16,13,19,21,15
Cedevita,Unicaja,Unicaja,78,91,23,25,19,23,12,17,24,26
Lokomotiv Kuban,Fenerbahce Ulker,Fenerbahce Ulker,52,55,13,17,12,13,19,13,8,12
Olympiacos,Baskonia,Olympiacos,82,68,19,16,25,14,19,17,19,21
Fenerbahce Ulker,Crvena Zvezda,Fenerbahce Ulker,72,65,14,18,11,16,24,6,23,25
Zalgiris Kaunas,Bamberg,Zalgiris Kaunas,75,73,25,19,16,19,18,17,16,18
Anadolu Efes SK,Lokomotiv Kuban,Lokomotiv Kuban,61,76,16,17,12,21,16,15,17,23
Unicaja,Panathinaikos,Panathinaikos,58,76,7,26,20,16,19,22,12,12
Cedevita,Darussafaka Ct,Darussafaka Ct,77,83,19,24,19,19,23,16,16,24
Khimki,Barcelona,Khimki,75,61,24,14,24,15,13,14,14,18
Real Madrid,CSKA Moscow,CSKA Moscow,87,96,18,18,19,24,25,22,25,32
Barcelona,Olympiacos,Barcelona,82,66,19,19,26,12,26,16,11,19
Crvena Zvezda,Anadolu Efes SK,Crvena Zvezda,91,82,24,19,14,27,25,19,28,17
Baskonia,Zalgiris Kaunas,Baskonia,71,65,22,20,10,12,13,21,26,12
Panathinaikos,Fenerbahce Ulker,Panathinaikos,76,71,15,20,21,16,19,17,21,18
Bamberg,Real Madrid,Real Madrid,86,90,26,23,19,23,20,26,21,18
Lokomotiv Kuban,Cedevita,Lokomotiv Kuban,87,63,29,12,15,21,26,13,17,17
Darussafaka Ct,Unicaja,Darussafaka Ct,78,55,19,16,18,12,22,17,19,10
CSKA Moscow,Khimki,CSKA Moscow,108,98,28,23,25,23,24,20,31,32
Barcelona,Zalgiris Kaunas,Barcelona,92,86,16,19,22,12,27,24,27,31
Panathinaikos,Anadolu Efes SK,Panathinaikos,83,78,17,20,19,15,28,24,19,19
CSKA Moscow,Olympiacos,CSKA Moscow,92,85,18,15,23,18,25,28,26,24
Lokomotiv Kuban,Darussafaka Ct,Lokomotiv Kuban,82,58,19,16,25,12,16,12,22,18
Baskonia,Bamberg,Baskonia,90,64,26,13,23,17,23,16,18,18
Crvena Zvezda,Cedevita,Crvena Zvezda,94,74,26,12,17,20,19,24,32,18
Fenerbahce Ulker,Unicaja,Fenerbahce Ulker,80,59,16,15,25,13,20,17,19,14
Khimki,Real Madrid,Real Madrid,82,93,26,26,24,17,19,28,13,22
Olympiacos,Khimki,Olympiacos,89,77,20,24,18,19,24,17,27,17
Real Madrid,Baskonia,Baskonia,68,77,19,19,18,22,12,18,19,18
Anadolu Efes SK,Fenerbahce Ulker,Fenerbahce Ulker,73,77,21,18,20,17,16,20,16,22
Zalgiris Kaunas,CSKA Moscow,CSKA Moscow,59,94,11,26,18,18,16,22,14,28
Unicaja,Lokomotiv Kuban,Lokomotiv Kuban,64,82,16,16,16,18,15,26,17,22
Bamberg,Barcelona,Bamberg,74,70,13,17,22,15,18,18,21,20
Darussafaka Ct,Crvena Zvezda,Darussafaka Ct,69,66,21,19,20,18,14,17,14,12
Cedevita,Panathinaikos,Panathinaikos,60,78,13,18,9,21,14,21,24,18
Barcelona,Baskonia,Baskonia,78,81,15,13,14,18,15,20,26,19
Panathinaikos,Darussafaka Ct,Panathinaikos,82,79,16,21,26,17,21,20,19,21
Crvena Zvezda,Lokomotiv Kuban,Crvena Zvezda,80,66,33,21,17,16,17,17,13,12
Unicaja,Anadolu Efes SK,Anadolu Efes SK,75,85,23,21,24,25,19,20,9,19
Khimki,Zalgiris Kaunas,Khimki,111,80,25,18,27,20,25,23,34,19
Real Madrid,Olympiacos,Real Madrid,84,72,17,19,24,16,22,13,21,24
Fenerbahce Ulker,Cedevita,Fenerbahce Ulker,86,73,27,12,13,21,22,28,24,12
CSKA Moscow,Bamberg,CSKA Moscow,91,70,25,23,30,11,18,16,18,20
Crvena Zvezda,Unicaja,Crvena Zvezda,87,73,21,14,20,17,19,22,27,20
Darussafaka Ct,Fenerbahce Ulker,Fenerbahce Ulker,100,106,24,37,27,25,22,24,27,20
Zalgiris Kaunas,Olympiacos,Zalgiris Kaunas,75,55,17,18,16,9,20,18,22,10
Khimki,Bamberg,Khimki,78,61,16,12,14,16,24,17,24,16
Real Madrid,Barcelona,Barcelona,86,87,27,17,21,20,15,25,23,25
Baskonia,CSKA Moscow,Baskonia,81,71,18,10,16,24,23,20,24,17
Cedevita,Anadolu Efes SK,Cedevita,84,80,24,20,23,27,18,12,19,21
Lokomotiv Kuban,Panathinaikos,Lokomotiv Kuban,76,67,22,22,16,17,15,12,23,16
Olympiacos,Bamberg,Bamberg,72,77,10,18,16,21,21,20,25,18
Real Madrid,Zalgiris Kaunas,Real Madrid,92,86,26,18,19,24,20,11,27,33
Anadolu Efes SK,Darussafaka Ct,Anadolu Efes SK,84,71,14,15,22,12,25,24,23,20
Khimki,Baskonia,Khimki,76,68,17,12,22,27,20,9,17,20
Unicaja,Cedevita,Unicaja,90,67,27,14,25,17,19,19,19,17
Panathinaikos,Crvena Zvezda,Crvena Zvezda,63,74,14,16,20,22,14,16,15,20
Fenerbahce Ulker,Lokomotiv Kuban,Fenerbahce Ulker,85,79,20,18,17,27,14,15,34,19
CSKA Moscow,Barcelona,CSKA Moscow,93,82,28,29,26,17,22,13,17,23
Panathinaikos,Unicaja,Panathinaikos,68,66,21,17,16,16,21,22,10,11
Bamberg,Zalgiris Kaunas,Bamberg,96,63,24,13,25,16,22,23,25,11
Crvena Zvezda,Fenerbahce Ulker,Fenerbahce Ulker,65,88,20,23,8,18,18,22,19,25
Lokomotiv Kuban,Anadolu Efes SK,Lokomotiv Kuban,78,77,13,21,24,22,16,16,25,18
Barcelona,Khimki,Barcelona,87,70,23,16,26,13,18,22,20,19
Baskonia,Olympiacos,Olympiacos,76,82,18,24,16,19,22,19,20,20
Darussafaka Ct,Cedevita,Cedevita,72,79,26,19,13,21,19,18,14,21
CSKA Moscow,Real Madrid,CSKA Moscow,95,81,22,20,28,21,21,23,24,17
Real Madrid,Bamberg,Real Madrid,82,79,13,19,17,21,27,20,25,19
Fenerbahce Ulker,Panathinaikos,Fenerbahce Ulker,82,75,28,18,18,25,16,15,20,17
Cedevita,Lokomotiv Kuban,Lokomotiv Kuban,75,89,21,16,20,34,15,13,19,26
Zalgiris Kaunas,Baskonia,Baskonia,68,89,14,33,26,22,15,9,13,25
Anadolu Efes SK,Crvena Zvezda,Anadolu Efes SK,85,84,25,23,19,31,17,18,24,12
Unicaja,Darussafaka Ct,Unicaja,70,62,14,16,15,16,25,21,16,9
Olympiacos,Barcelona,Olympiacos,74,62,14,14,25,12,17,14,18,22
Khimki,CSKA Moscow,Khimki,91,89,21,29,20,22,28,20,22,18
Olimpia Milano,Limoges,Limoges,69,77,19,20,22,28,13,18,15,11
Olympiacos,Anadolu Efes SK,Anadolu Efes SK,68,81,10,21,19,19,25,24,14,17
Unicaja,CSKA Moscow,CSKA Moscow,76,88,24,20,22,22,11,23,19,23
Crvena Zvezda,Bayern,Crvena Zvezda,85,76,31,20,13,20,12,25,29,11
Zielona Gora,Pinar Karsiyaka,Pinar Karsiyaka,81,83,20,24,16,25,25,14,20,20
Lokomotiv Kuban,Barcelona,Lokomotiv Kuban,78,74,18,17,11,18,25,25,24,14
Real Madrid,Strasbourg,Real Madrid,97,65,29,15,23,22,23,13,22,15
Baskonia,Cedevita,Baskonia,92,70,23,16,22,13,22,28,25,13
Bamberg,Sassari,Bamberg,86,54,20,14,29,19,18,14,19,7
Darussafaka Ct,Maccabi Tel Aviv,Maccabi Tel Aviv,66,70,23,19,12,19,14,12,17,20
Zalgiris Kaunas,Panathinaikos,Panathinaikos,72,75,16,21,20,13,22,18,14,23
Khimki,Fenerbahce Ulker,Fenerbahce Ulker,68,70,26,24,13,15,10,11,19,20
Fenerbahce Ulker,Crvena Zvezda,Fenerbahce Ulker,79,61,18,20,21,17,19,14,21,10
Panathinaikos,Zielona Gora,Panathinaikos,82,51,26,23,21,10,20,14,15,4
Strasbourg,Khimki,Khimki,69,78,24,20,19,25,14,14,12,19
Bayern,Real Madrid,Real Madrid,67,86,18,20,20,16,13,29,16,21
Cedevita,Olimpia Milano,Olimpia Milano,82,85,18,25,13,20,26,21,25,19
CSKA Moscow,Darussafaka Ct,CSKA Moscow,94,66,24,19,27,22,29,7,14,18
Barcelona,Zalgiris Kaunas,Zalgiris Kaunas,88,92,16,27,22,18,25,25,25,22
Limoges,Olympiacos,Olympiacos,67,76,15,20,21,26,12,19,19,11
Sassari,Unicaja,Unicaja,65,77,23,26,16,22,12,15,14,14
Maccabi Tel Aviv,Bamberg,Maccabi Tel Aviv,85,65,22,10,19,18,29,22,15,15
Anadolu Efes SK,Baskonia,Anadolu Efes SK,95,86,16,21,25,25,26,20,28,20
Pinar Karsiyaka,Lokomotiv Kuban,Lokomotiv Kuban,78,88,22,27,21,23,14,20,21,18
Panathinaikos,Barcelona,Panathinaikos,93,86,21,22,24,13,21,22,27,29
Strasbourg,Bayern,Bayern,69,82,15,21,14,27,11,18,29,16
Crvena Zvezda,Khimki,Crvena Zvezda,96,91,27,26,23,27,18,16,28,22
Darussafaka Ct,Unicaja,Darussafaka Ct,63,57,20,15,10,13,15,20,18,9
Lokomotiv Kuban,Zielona Gora,Zielona Gora,51,66,13,24,14,16,11,12,13,14
Olympiacos,Olimpia Milano,Olympiacos,73,63,14,13,11,16,23,19,25,15
Bamberg,CSKA Moscow,CSKA Moscow,88,100,20,26,27,25,23,28,18,21
Real Madrid,Fenerbahce Ulker,Real Madrid,80,73,18,28,18,17,20,10,24,18
Baskonia,Limoges,Baskonia,92,56,29,15,25,14,19,14,19,13
Cedevita,Anadolu Efes SK,Anadolu Efes SK,75,81,13,17,26,25,26,15,10,24
Sassari,Maccabi Tel Aviv,Maccabi Tel Aviv,74,76,15,20,18,20,19,17,22,19
Zalgiris Kaunas,Pinar Karsiyaka,Zalgiris Kaunas,74,52,22,14,18,11,13,16,21,11
Darussafaka Ct,Bamberg,Bamberg,54,65,17,17,12,15,12,18,13,15
Crvena Zvezda,Real Madrid,Crvena Zvezda,94,88,28,18,18,25,20,24,28,21
CSKA Moscow,Sassari,CSKA Moscow,93,87,25,26,25,19,20,13,23,29
Pinar Karsiyaka,Panathinaikos,Panathinaikos,66,69,9,21,14,15,18,14,25,19
Lokomotiv Kuban,Zalgiris Kaunas,Lokomotiv Kuban,80,50,28,14,25,3,12,10,15,23
Unicaja,Maccabi Tel Aviv,Unicaja,82,68,26,20,22,11,15,18,19,19
Olimpia Milano,Anadolu Efes SK,Olimpia Milano,88,84,23,21,21,25,22,19,22,19
Olympiacos,Baskonia,Olympiacos,59,52,12,6,24,16,10,17,13,13
Limoges,Cedevita,Cedevita,69,78,18,20,21,28,12,15,18,15
Fenerbahce Ulker,Strasbourg,Fenerbahce Ulker,81,64,22,14,18,20,21,13,20,17
Zielona Gora,Barcelona,Barcelona,64,93,18,24,17,20,15,25,14,24
Khimki,Bayern,Bayern,70,81,14,23,16,19,21,17,19,22
Sassari,Darussafaka Ct,Darussafaka Ct,60,68,16,12,14,25,11,19,19,12
Panathinaikos,Lokomotiv Kuban,Lokomotiv Kuban,71,77,10,21,19,12,25,26,17,18
Bamberg,Unicaja,Bamberg,73,53,14,17,26,12,20,8,13,16
Anadolu Efes SK,Limoges,Anadolu Efes SK,92,74,25,20,26,15,19,22,22,17
Barcelona,Pinar Karsiyaka,Barcelona,107,79,26,16,22,21,31,20,28,22
Bayern,Fenerbahce Ulker,Fenerbahce Ulker,67,84,10,30,20,20,18,17,19,17
Strasbourg,Crvena Zvezda,Strasbourg,78,75,19,30,15,22,22,12,22,11
Baskonia,Olimpia Milano,Baskonia,94,82,28,19,24,18,20,17,22,28
Maccabi Tel Aviv,CSKA Moscow,CSKA Moscow,82,88,18,13,19,25,26,27,19,23
Cedevita,Olympiacos,Olympiacos,70,83,24,21,16,20,16,23,14,19
Zalgiris Kaunas,Zielona Gora,Zalgiris Kaunas,67,56,17,14,19,15,21,20,10,7
Real Madrid,Khimki,Khimki,82,85,22,24,20,20,21,22,19,19
Fenerbahce Ulker,Khimki,Fenerbahce Ulker,88,83,23,21,26,20,15,18,24,24
Panathinaikos,Zalgiris Kaunas,Panathinaikos,91,56,27,13,17,12,26,16,21,15
Sassari,Bamberg,Bamberg,73,90,21,14,13,22,19,24,20,30
Strasbourg,Real Madrid,Strasbourg,93,86,24,25,27,19,27,19,15,23
Cedevita,Baskonia,Cedevita,76,67,16,18,15,19,23,13,22,17
Pinar Karsiyaka,Zielona Gora,Pinar Karsiyaka,77,66,21,16,15,12,21,13,20,25
CSKA Moscow,Unicaja,Unicaja,78,86,20,17,23,25,22,19,13,25
Barcelona,Lokomotiv Kuban,Barcelona,72,68,18,16,19,15,11,18,24,19
Bayern,Crvena Zvezda,Crvena Zvezda,79,90,19,19,24,19,23,25,13,27
Limoges,Olimpia Milano,Limoges,74,65,19,21,20,9,17,16,18,19
Maccabi Tel Aviv,Darussafaka Ct,Darussafaka Ct,73,84,20,20,19,17,14,23,20,24
Anadolu Efes SK,Olympiacos,Olympiacos,87,91,13,20,17,16,24,18,22,22
Unicaja,Sassari,Unicaja,80,62,20,16,16,21,24,7,20,18
Crvena Zvezda,Fenerbahce Ulker,Fenerbahce Ulker,60,74,19,25,12,20,11,14,18,15
Zielona Gora,Panathinaikos,Zielona Gora,71,68,19,15,21,18,17,16,14,19
Zalgiris Kaunas,Barcelona,Barcelona,78,85,23,22,16,23,18,22,21,18
Lokomotiv Kuban,Pinar Karsiyaka,Lokomotiv Kuban,72,53,17,21,13,14,22,7,20,11
Baskonia,Anadolu Efes SK,Baskonia,92,90,16,18,12,15,24,24,29,24
Olimpia Milano,Cedevita,Cedevita,68,77,11,21,19,14,20,14,18,28
Olympiacos,Limoges,Olympiacos,75,49,16,17,12,12,23,13,24,7
Real Madrid,Bayern,Real Madrid,101,99,33,20,18,31,22,30,28,18
Bamberg,Maccabi Tel Aviv,Bamberg,77,66,23,22,19,13,9,22,26,9
Darussafaka Ct,CSKA Moscow,CSKA Moscow,75,80,19,24,24,24,9,22,23,10
Khimki,Strasbourg,Khimki,88,62,23,15,16,11,25,14,24,22
Olimpia Milano,Olympiacos,Olympiacos,66,71,23,20,14,19,17,13,12,19
Bayern,Strasbourg,Bayern,76,61,18,12,13,17,23,18,22,14
Unicaja,Darussafaka Ct,Unicaja,81,69,16,20,28,17,20,16,17,16
Zielona Gora,Lokomotiv Kuban,Lokomotiv Kuban,75,83,15,13,23,27,19,19,18,24
Fenerbahce Ulker,Real Madrid,Fenerbahce Ulker,77,66,20,18,19,14,24,24,14,10
Khimki,Crvena Zvezda,Khimki,91,53,22,17,29,13,20,9,20,14
Barcelona,Panathinaikos,Barcelona,77,52,17,11,25,17,13,15,22,9
Limoges,Baskonia,Baskonia,71,107,12,26,22,34,21,18,16,29
Maccabi Tel Aviv,Sassari,Maccabi Tel Aviv,79,63,15,17,20,16,22,14,22,16
Anadolu Efes SK,Cedevita,Cedevita,75,81,25,21,16,15,17,18,17,27
CSKA Moscow,Bamberg,CSKA Moscow,83,77,16,15,21,13,21,21,25,28
Pinar Karsiyaka,Zalgiris Kaunas,Zalgiris Kaunas,66,68,15,23,18,15,19,20,14,10
Barcelona,Zielona Gora,Barcelona,78,72,19,20,24,17,21,20,14,15
Sassari,CSKA Moscow,CSKA Moscow,78,107,26,25,15,35,22,19,15,28
Strasbourg,Fenerbahce Ulker,Strasbourg,91,70,21,24,28,17,16,17,26,12
Baskonia,Olympiacos,Baskonia,96,89,21,18,27,21,21,24,11,17
Bamberg,Darussafaka Ct,Bamberg,86,76,20,13,16,14,31,29,19,20
Zalgiris Kaunas,Lokomotiv Kuban,Lokomotiv Kuban,74,76,31,27,9,16,17,17,17,16
Real Madrid,Crvena Zvezda,Real Madrid,98,71,22,6,34,14,26,21,16,30
Panathinaikos,Pinar Karsiyaka,Panathinaikos,85,73,30,15,17,19,17,18,21,21
Bayern,Khimki,Bayern,69,60,22,16,23,15,14,20,10,9
Maccabi Tel Aviv,Unicaja,Unicaja,82,93,21,24,26,23,16,21,19,25
Cedevita,Limoges,Limoges,80,84,19,27,13,17,22,15,26,25
Anadolu Efes SK,Olimpia Milano,Anadolu Efes SK,89,73,21,20,22,22,26,21,20,10
Limoges,Anadolu Efes SK,Anadolu Efes SK,77,89,17,30,20,17,19,21,21,21
Olimpia Milano,Baskonia,Olimpia Milano,78,76,17,23,21,13,23,10,17,30
Khimki,Real Madrid,Khimki,84,70,21,14,22,18,18,17,23,21
Zielona Gora,Zalgiris Kaunas,Zalgiris Kaunas,62,66,17,15,18,19,18,12,9,20
Fenerbahce Ulker,Bayern,Fenerbahce Ulker,74,67,10,20,20,19,22,20,22,8
Lokomotiv Kuban,Panathinaikos,Lokomotiv Kuban,81,70,17,21,28,20,18,20,18,9
Olympiacos,Cedevita,Olympiacos,76,61,21,20,17,15,19,13,19,13
Unicaja,Bamberg,Unicaja,76,71,18,18,18,16,27,15,13,22
Darussafaka Ct,Sassari,Darussafaka Ct,83,74,15,19,17,12,14,19,20,16
Crvena Zvezda,Strasbourg,Crvena Zvezda,81,59,19,20,24,12,19,16,19,11
CSKA Moscow,Maccabi Tel Aviv,CSKA Moscow,100,69,29,20,15,9,29,19,27,21
Pinar Karsiyaka,Barcelona,Pinar Karsiyaka,71,62,18,18,11,9,25,11,17,24
