teamAbbr,teamPTS,opptAbbr,opptPTS,teamRslt,teamLoc,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8
PHO,118,MIN,110,Win,Home,19,37,29,33,0,0,0,0,28,32,28,22,0,0,0,0
UTA,114,BKN,106,Win,Home,25,36,24,29,0,0,0,0,25,20,30,31,0,0,0,0
BOS,95,TOR,94,Win,Home,24,20,33,18,0,0,0,0,24,25,27,18,0,0,0,0
DET,112,MIA,103,Win,Home,31,24,28,29,0,0,0,0,29,29,23,22,0,0,0,0
IND,95,HOU,118,Loss,Home,18,33,20,24,0,0,0,0,35,28,24,31,0,0,0,0
OKC,112,DAL,99,Win,Home,18,26,39,29,0,0,0,0,20,22,25,32,0,0,0,0
WAS,110,SAC,92,Win,Home,25,32,29,24,0,0,0,0,32,19,20,21,0,0,0,0
NY,101,CLE,104,Loss,Home,22,29,25,25,0,0,0,0,25,13,23,43,0,0,0,0
MIL,110,MEM,103,Win,Home,34,26,24,26,0,0,0,0,29,36,12,26,0,0,0,0
NO,106,ATL,105,Win,Home,23,22,33,28,0,0,0,0,32,18,30,25,0,0,0,0
PHO,93,LAL,100,Loss,Home,20,24,29,20,0,0,0,0,21,22,31,26,0,0,0,0
UTA,98,MIN,109,Loss,Home,14,28,23,33,0,0,0,0,33,24,31,21,0,0,0,0
POR,99,DEN,82,Win,Home,25,29,30,15,0,0,0,0,21,28,17,16,0,0,0,0
GS,110,ORL,100,Win,Home,27,29,32,22,0,0,0,0,29,27,19,25,0,0,0,0
LAC,105,PHI,109,Loss,Home,28,25,26,26,0,0,0,0,36,19,22,32,0,0,0,0
BKN,102,BOS,109,Loss,Home,21,31,19,31,0,0,0,0,30,22,28,29,0,0,0,0
HOU,113,TOR,129,Loss,Home,33,31,30,19,0,0,0,0,31,45,27,26,0,0,0,0
DAL,91,SA,97,Loss,Home,16,23,21,31,0,0,0,0,17,27,18,35,0,0,0,0
ATL,126,SAC,80,Win,Home,24,40,28,34,0,0,0,0,16,19,26,19,0,0,0,0
MIA,93,WAS,102,Loss,Home,19,30,25,19,0,0,0,0,30,31,10,31,0,0,0,0
NY,106,UTA,101,Win,Home,27,23,27,29,0,0,0,0,30,30,22,19,0,0,0,0
CHA,107,CLE,115,Loss,Home,30,37,17,23,0,0,0,0,36,25,27,27,0,0,0,0
MEM,113,IND,116,Loss,Home,25,28,31,29,0,0,0,0,34,33,30,19,0,0,0,0
MIL,99,DET,95,Win,Home,26,15,34,24,0,0,0,0,23,18,21,33,0,0,0,0
MIN,98,SA,86,Win,Home,18,39,18,23,0,0,0,0,24,19,22,21,0,0,0,0
NO,116,TOR,125,Loss,Home,34,29,23,30,0,0,0,0,29,35,34,27,0,0,0,0
OKC,92,CHI,79,Win,Home,27,31,19,15,0,0,0,0,7,27,22,23,0,0,0,0
POR,99,ORL,94,Win,Home,24,27,24,24,0,0,0,0,33,14,24,23,0,0,0,0
LAL,109,PHI,115,Loss,Home,26,28,30,25,0,0,0,0,29,29,25,32,0,0,0,0
BOS,92,GS,88,Win,Home,18,24,26,24,0,0,0,0,28,19,21,20,0,0,0,0
PHO,116,HOU,142,Loss,Home,23,42,26,25,0,0,0,0,45,45,30,22,0,0,0,0
IND,107,DET,100,Win,Home,23,24,24,36,0,0,0,0,32,26,23,19,0,0,0,0
WAS,88,MIA,91,Loss,Home,17,12,28,31,0,0,0,0,26,24,16,25,0,0,0,0
BKN,118,UTA,107,Win,Home,39,26,24,29,0,0,0,0,25,24,31,27,0,0,0,0
CLE,118,LAC,113,Win,Home,24,32,22,27,13,0,0,0,27,29,25,24,8,0,0,0
TOR,107,NY,84,Win,Home,30,24,24,29,0,0,0,0,18,18,28,20,0,0,0,0
CHI,123,CHA,120,Win,Home,26,34,23,40,0,0,0,0,27,33,32,28,0,0,0,0
SA,104,OKC,101,Win,Home,15,33,30,26,0,0,0,0,32,23,23,23,0,0,0,0
DAL,87,MIN,111,Loss,Home,29,26,17,15,0,0,0,0,24,19,31,37,0,0,0,0
SAC,86,POR,82,Win,Home,19,23,18,26,0,0,0,0,20,21,19,22,0,0,0,0
DEN,146,NO,114,Win,Home,37,27,42,40,0,0,0,0,19,37,24,34,0,0,0,0
LAL,113,PHO,122,Loss,Home,28,25,29,31,0,0,0,0,29,36,24,33,0,0,0,0
CHA,102,LAC,87,Win,Home,25,30,18,29,0,0,0,0,24,22,25,16,0,0,0,0
